Epoch,Train_loss,Train_acc,val_loss,Val_acc,time,Elasttime
0,1.3076,0.5372,0.9791,0.6562,1636214580,0m 42s
1,0.8964,0.6858,0.7789,0.7307,1636214622,0m 42s
2,0.7679,0.7314,0.7037,0.7563,1636214663,0m 41s
3,0.6994,0.7568,0.661,0.771,1636214704,0m 41s
4,0.6402,0.778,0.6299,0.7834,1636214744,0m 41s
5,0.5953,0.7926,0.598,0.7975,1636214785,0m 41s
6,0.5657,0.8025,0.5811,0.8017,1636214826,0m 40s
7,0.5202,0.8173,0.5646,0.8064,1636214866,0m 41s
8,0.5155,0.8193,0.5612,0.8084,1636214907,0m 40s
9,0.5008,0.8253,0.5591,0.8086,1636214947,0m 40s
10,0.4973,0.8248,0.5567,0.8082,1636214988,0m 41s
11,0.4987,0.8239,0.5575,0.8091,1636215028,0m 40s
12,0.49,0.8288,0.5569,0.8067,1636215069,0m 41s
13,0.4882,0.8287,0.553,0.8114,1636215109,0m 40s
14,0.4798,0.8332,0.551,0.8105,1636215150,0m 40s
15,0.48,0.831,0.5498,0.8109,1636215190,0m 40s
16,0.4792,0.8319,0.5501,0.8117,1636215231,0m 41s
17,0.479,0.832,0.5503,0.8122,1636215271,0m 41s
18,0.4835,0.83,0.5486,0.8109,1636215312,0m 40s
19,0.4806,0.8316,0.5488,0.8123,1636215352,0m 41s
20,0.4835,0.8302,0.5493,0.8109,1636215393,0m 40s
21,0.4796,0.8319,0.5494,0.8115,1636215433,0m 40s
22,0.4839,0.8306,0.5527,0.8107,1636215475,0m 42s
23,0.4797,0.8321,0.5505,0.8102,1636215519,0m 44s
24,0.4764,0.8318,0.5493,0.8113,1636215559,0m 40s
25,0.4807,0.8316,0.5509,0.8093,1636215600,0m 40s
26,0.4779,0.8329,0.5482,0.8117,1636215640,0m 40s
27,0.4807,0.8308,0.5535,0.81,1636215681,0m 41s
28,0.4818,0.8303,0.5511,0.811,1636215721,0m 40s
29,0.4837,0.8312,0.552,0.81,1636215762,0m 41s
30,0.4785,0.8324,0.5492,0.8093,1636215802,0m 40s
31,0.4811,0.8324,0.5493,0.8117,1636215843,0m 40s
32,0.4826,0.8307,0.5504,0.8127,1636215883,0m 41s
33,0.4783,0.8321,0.5476,0.811,1636215924,0m 40s
34,0.4796,0.8311,0.5497,0.8121,1636215965,0m 41s
35,0.4789,0.8312,0.5496,0.8102,1636216005,0m 41s
36,0.4778,0.8327,0.5501,0.8101,1636216046,0m 41s
37,0.4819,0.8312,0.5522,0.8108,1636216086,0m 41s
38,0.4796,0.8303,0.5505,0.8095,1636216127,0m 41s
39,0.4796,0.8317,0.549,0.8117,1636216168,0m 41s
40,0.4829,0.8313,0.5487,0.8122,1636216208,0m 41s
41,0.4798,0.8323,0.5513,0.8106,1636216249,0m 41s
42,0.4825,0.8301,0.5495,0.8119,1636216290,0m 41s
43,0.4786,0.8317,0.5501,0.8107,1636216330,0m 41s
44,0.4786,0.8308,0.5467,0.8111,1636216371,0m 41s
45,0.4816,0.832,0.5489,0.8107,1636216412,0m 41s
46,0.482,0.8296,0.5477,0.81,1636216453,0m 41s
47,0.484,0.8308,0.5534,0.8101,1636216495,0m 42s
48,0.4816,0.8317,0.5508,0.8106,1636216536,0m 42s
49,0.4783,0.8316,0.5512,0.8131,1636216578,0m 42s
