Epoch,Train_loss,Train_acc,val_loss,Val_acc,time,Elasttime
0,1.3093,0.5395,0.9496,0.6652,1636221659,0m 41s
1,0.8987,0.6847,0.8076,0.7165,1636221700,0m 41s
2,0.7716,0.7304,0.7063,0.7524,1636221741,0m 41s
3,0.6942,0.7571,0.6553,0.7703,1636221781,0m 41s
4,0.6397,0.7758,0.6371,0.7807,1636221824,0m 42s
5,0.5999,0.7894,0.5986,0.7923,1636221867,0m 43s
6,0.5666,0.8006,0.5852,0.7995,1636221907,0m 41s
7,0.5197,0.8164,0.5648,0.8061,1636221948,0m 41s
8,0.5069,0.8226,0.5612,0.8087,1636221988,0m 41s
9,0.5045,0.8215,0.5592,0.8086,1636222029,0m 41s
10,0.5017,0.8248,0.5581,0.8108,1636222070,0m 41s
11,0.4949,0.8251,0.5557,0.8093,1636222110,0m 41s
12,0.4919,0.8265,0.5527,0.8106,1636222151,0m 41s
13,0.4899,0.8265,0.5533,0.8097,1636222191,0m 41s
14,0.4875,0.8284,0.5521,0.8094,1636222232,0m 41s
15,0.4849,0.8287,0.5528,0.8096,1636222272,0m 41s
16,0.4833,0.8298,0.5513,0.8127,1636222313,0m 41s
17,0.482,0.8276,0.552,0.8095,1636222354,0m 41s
18,0.4839,0.8309,0.5509,0.8099,1636222394,0m 41s
19,0.4848,0.8293,0.5532,0.8115,1636222435,0m 41s
20,0.4818,0.8301,0.5512,0.81,1636222475,0m 41s
21,0.4818,0.8317,0.5507,0.8098,1636222516,0m 41s
22,0.4833,0.8299,0.5531,0.8098,1636222557,0m 41s
23,0.4803,0.8301,0.5503,0.8112,1636222597,0m 41s
24,0.4773,0.8312,0.5497,0.8085,1636222638,0m 41s
25,0.4824,0.8314,0.5497,0.8091,1636222679,0m 41s
26,0.4804,0.8294,0.554,0.8096,1636222719,0m 41s
27,0.4797,0.8315,0.5498,0.8124,1636222760,0m 41s
28,0.4803,0.8315,0.5509,0.8116,1636222801,0m 41s
29,0.4824,0.8297,0.5504,0.8136,1636222841,0m 41s
30,0.4791,0.8319,0.5496,0.8117,1636222882,0m 41s
31,0.479,0.8318,0.5512,0.8103,1636222922,0m 41s
32,0.4773,0.832,0.5524,0.8095,1636222963,0m 41s
33,0.4791,0.8317,0.5523,0.8086,1636223004,0m 41s
34,0.4827,0.8302,0.5496,0.814,1636223044,0m 41s
35,0.4796,0.8308,0.5556,0.8097,1636223085,0m 41s
36,0.4785,0.8306,0.5486,0.8118,1636223125,0m 41s
37,0.4797,0.8309,0.5495,0.809,1636223166,0m 41s
38,0.4815,0.8303,0.5498,0.8105,1636223206,0m 41s
39,0.4795,0.8322,0.5513,0.81,1636223247,0m 41s
40,0.4828,0.831,0.5501,0.8109,1636223288,0m 41s
41,0.4764,0.8307,0.5485,0.8118,1636223328,0m 41s
42,0.48,0.8315,0.5523,0.8108,1636223369,0m 41s
43,0.4797,0.8295,0.5531,0.811,1636223409,0m 41s
44,0.4793,0.8305,0.5489,0.812,1636223450,0m 41s
45,0.4811,0.8296,0.5504,0.8123,1636223491,0m 41s
46,0.4825,0.8293,0.5511,0.8128,1636223531,0m 41s
47,0.4801,0.8307,0.556,0.8095,1636223572,0m 41s
48,0.4795,0.8337,0.5495,0.8096,1636223612,0m 41s
49,0.4827,0.8294,0.5506,0.8115,1636223653,0m 41s
