Epoch,Train_loss,Train_acc,val_loss,Val_acc,time,Elasttime
0,1.3034,0.541,0.9568,0.658,1636219331,0m 42s
1,0.8948,0.6864,0.772,0.7313,1636219373,0m 42s
2,0.769,0.7336,0.7019,0.7557,1636219414,0m 42s
3,0.6978,0.7564,0.6576,0.7734,1636219456,0m 42s
4,0.6421,0.7772,0.6293,0.783,1636219498,0m 42s
5,0.5958,0.7914,0.5945,0.794,1636219539,0m 42s
6,0.5641,0.8043,0.588,0.797,1636219581,0m 42s
7,0.524,0.8171,0.5607,0.8067,1636219623,0m 42s
8,0.512,0.82,0.5578,0.8038,1636219664,0m 42s
9,0.5031,0.8242,0.5568,0.8077,1636219706,0m 42s
10,0.4969,0.8234,0.5554,0.8088,1636219748,0m 42s
11,0.4958,0.825,0.5527,0.8069,1636219790,0m 42s
12,0.4948,0.8276,0.5529,0.8097,1636219833,0m 43s
13,0.4893,0.8264,0.5533,0.81,1636219875,0m 42s
14,0.4859,0.8287,0.5505,0.8094,1636219916,0m 42s
15,0.4829,0.8314,0.5495,0.8092,1636219958,0m 42s
16,0.4832,0.8304,0.5482,0.8106,1636219999,0m 42s
17,0.4827,0.8323,0.5505,0.8087,1636220041,0m 42s
18,0.4821,0.8297,0.5502,0.8091,1636220083,0m 42s
19,0.4825,0.8316,0.5496,0.8096,1636220124,0m 42s
20,0.4787,0.8306,0.5515,0.8092,1636220166,0m 42s
21,0.4817,0.8307,0.5499,0.8099,1636220207,0m 42s
22,0.4816,0.8312,0.5472,0.8102,1636220249,0m 42s
23,0.4829,0.829,0.5514,0.8094,1636220291,0m 42s
24,0.4787,0.8309,0.5495,0.8099,1636220332,0m 42s
25,0.4804,0.8305,0.5479,0.8093,1636220374,0m 42s
26,0.4785,0.8306,0.5493,0.8113,1636220415,0m 42s
27,0.4783,0.8322,0.5499,0.8117,1636220457,0m 42s
28,0.4794,0.8314,0.548,0.81,1636220499,0m 42s
29,0.4824,0.8316,0.5503,0.8118,1636220540,0m 42s
30,0.4809,0.8313,0.5476,0.8095,1636220582,0m 42s
31,0.481,0.8312,0.5473,0.8108,1636220623,0m 42s
32,0.479,0.8311,0.5503,0.8099,1636220665,0m 42s
33,0.4817,0.8315,0.5492,0.8094,1636220706,0m 42s
34,0.485,0.8296,0.547,0.8111,1636220748,0m 42s
35,0.4785,0.8306,0.5489,0.809,1636220789,0m 42s
36,0.4794,0.8305,0.5494,0.8111,1636220831,0m 42s
37,0.4783,0.8308,0.5494,0.811,1636220873,0m 42s
38,0.4829,0.83,0.5492,0.8102,1636220914,0m 42s
39,0.4813,0.8295,0.55,0.8105,1636220956,0m 42s
40,0.4832,0.8297,0.5485,0.8117,1636220997,0m 42s
41,0.4843,0.8281,0.5494,0.8096,1636221039,0m 42s
42,0.4813,0.8303,0.5475,0.8112,1636221080,0m 42s
43,0.4801,0.8306,0.5466,0.812,1636221122,0m 42s
44,0.4843,0.8301,0.548,0.8111,1636221165,0m 43s
45,0.4795,0.8321,0.5499,0.81,1636221207,0m 42s
46,0.4773,0.8326,0.5487,0.811,1636221248,0m 42s
47,0.4818,0.8298,0.5492,0.8098,1636221290,0m 42s
48,0.4802,0.8326,0.5491,0.8083,1636221331,0m 42s
49,0.4794,0.8323,0.5495,0.8103,1636221373,0m 42s
