Epoch,Train_loss,Train_acc,val_loss,Val_acc,time,Elasttime
0,1.3056,0.5406,0.9703,0.662,1636050037,0m 42s
1,0.8991,0.6864,0.784,0.7291,1636050080,0m 43s
2,0.7752,0.7272,0.7107,0.7512,1636050127,0m 47s
3,0.6974,0.7551,0.6674,0.7702,1636050172,0m 45s
4,0.6396,0.7761,0.6239,0.7704,1636050220,0m 47s
5,0.6038,0.7891,0.6036,0.7875,1636050266,0m 46s
6,0.5673,0.801,0.5893,0.7964,1636050312,0m 47s
7,0.5254,0.8156,0.5664,0.806,1636050359,0m 47s
8,0.5183,0.8182,0.562,0.8074,1636050401,0m 42s
9,0.508,0.8204,0.5581,0.8084,1636050444,0m 43s
10,0.5021,0.8249,0.5585,0.8098,1636050489,0m 45s
11,0.4995,0.8257,0.5547,0.8105,1636050531,0m 42s
12,0.4974,0.8231,0.555,0.81,1636050575,0m 43s
13,0.4888,0.8276,0.5531,0.8105,1636050620,0m 45s
14,0.485,0.8296,0.5517,0.8112,1636050667,0m 47s
15,0.4819,0.8296,0.553,0.8121,1636050714,0m 47s
16,0.4834,0.8308,0.5511,0.8117,1636050759,0m 45s
17,0.4876,0.8278,0.5513,0.8109,1636050803,0m 44s
18,0.4817,0.8317,0.5508,0.8118,1636050847,0m 44s
19,0.4858,0.8291,0.5556,0.812,1636050893,0m 46s
20,0.4818,0.8302,0.5515,0.8122,1636050939,0m 46s
21,0.4786,0.8331,0.5516,0.8103,1636050982,0m 43s
22,0.4829,0.8298,0.5503,0.81,1636051025,0m 43s
23,0.4815,0.832,0.5506,0.8118,1636051069,0m 45s
24,0.4846,0.8308,0.5511,0.8115,1636051115,0m 46s
25,0.4852,0.8283,0.555,0.8124,1636051162,0m 47s
26,0.4889,0.8281,0.5505,0.8115,1636051204,0m 42s
27,0.4826,0.8305,0.5501,0.812,1636051250,0m 46s
28,0.4797,0.832,0.5495,0.8127,1636051293,0m 43s
29,0.4808,0.8313,0.5535,0.8118,1636051334,0m 41s
30,0.4814,0.8292,0.5533,0.8107,1636051375,0m 41s
31,0.4798,0.8306,0.55,0.8114,1636051421,0m 45s
32,0.4835,0.8303,0.5517,0.8122,1636051465,0m 44s
33,0.481,0.833,0.5523,0.8112,1636051504,0m 39s
34,0.4835,0.8294,0.5497,0.8113,1636051548,0m 43s
35,0.4808,0.8324,0.5514,0.8106,1636051595,0m 48s
36,0.481,0.8309,0.5514,0.8113,1636051641,0m 46s
37,0.4867,0.829,0.5509,0.8106,1636051686,0m 45s
38,0.4835,0.8307,0.5489,0.8118,1636051731,0m 45s
39,0.4865,0.8282,0.5515,0.8121,1636051775,0m 44s
40,0.4825,0.8284,0.5523,0.8104,1636051818,0m 43s
41,0.4859,0.828,0.5508,0.8098,1636051861,0m 43s
42,0.4831,0.8303,0.5544,0.8089,1636051902,0m 40s
43,0.4827,0.8299,0.5515,0.8107,1636051943,0m 41s
44,0.4829,0.8303,0.5502,0.8111,1636051985,0m 42s
45,0.4797,0.8302,0.55,0.8116,1636052028,0m 44s
46,0.4849,0.8285,0.5519,0.8121,1636052073,0m 45s
47,0.4876,0.8281,0.5508,0.8126,1636052118,0m 45s
48,0.4823,0.8297,0.5522,0.8125,1636052163,0m 45s
49,0.481,0.8317,0.5499,0.811,1636052208,0m 45s
