Epoch,Train_loss,Train_acc,val_loss,Val_acc,time,Elasttime
0,1.3153,0.538,0.9624,0.667,1636212324,0m 41s
1,0.8998,0.6836,0.7856,0.728,1636212364,0m 41s
2,0.7759,0.7302,0.708,0.758,1636212405,0m 41s
3,0.6971,0.7575,0.6564,0.7729,1636212445,0m 41s
4,0.6475,0.7762,0.6317,0.785,1636212486,0m 41s
5,0.607,0.7873,0.6058,0.7914,1636212526,0m 41s
6,0.5669,0.8007,0.5941,0.7973,1636212567,0m 41s
7,0.521,0.8158,0.5726,0.8045,1636212608,0m 41s
8,0.5131,0.8197,0.5661,0.8047,1636212649,0m 41s
9,0.5116,0.8182,0.5655,0.8055,1636212690,0m 41s
10,0.5022,0.8233,0.5618,0.8072,1636212730,0m 41s
11,0.4984,0.8241,0.5594,0.806,1636212771,0m 41s
12,0.498,0.8241,0.557,0.8084,1636212812,0m 41s
13,0.4916,0.8269,0.5579,0.8108,1636212853,0m 41s
14,0.4884,0.827,0.556,0.8115,1636212893,0m 41s
15,0.4893,0.8278,0.555,0.8084,1636212934,0m 41s
16,0.4866,0.8284,0.554,0.8092,1636212974,0m 41s
17,0.4857,0.8294,0.5583,0.8087,1636213015,0m 41s
18,0.4874,0.8291,0.5561,0.8106,1636213056,0m 41s
19,0.4848,0.829,0.5547,0.81,1636213096,0m 41s
20,0.4862,0.8293,0.5551,0.8085,1636213137,0m 41s
21,0.486,0.8297,0.5553,0.8101,1636213177,0m 41s
22,0.4813,0.8302,0.5556,0.8104,1636213218,0m 41s
23,0.4839,0.8305,0.5559,0.8108,1636213259,0m 41s
24,0.4866,0.8295,0.5551,0.8099,1636213299,0m 41s
25,0.4816,0.8321,0.5536,0.8099,1636213340,0m 41s
26,0.4857,0.8299,0.5521,0.8094,1636213380,0m 41s
27,0.4813,0.8309,0.5568,0.8102,1636213421,0m 41s
28,0.4859,0.8296,0.5537,0.8109,1636213462,0m 41s
29,0.4838,0.8281,0.5516,0.8121,1636213502,0m 41s
30,0.485,0.8289,0.5556,0.8094,1636213543,0m 41s
31,0.482,0.832,0.5534,0.809,1636213583,0m 41s
32,0.4862,0.8283,0.5561,0.8101,1636213624,0m 41s
33,0.4841,0.8304,0.5547,0.8111,1636213664,0m 41s
34,0.483,0.8298,0.5529,0.8104,1636213707,0m 42s
35,0.4796,0.8304,0.5532,0.8095,1636213747,0m 40s
36,0.4827,0.8302,0.5553,0.8106,1636213788,0m 41s
37,0.4842,0.8299,0.5557,0.811,1636213829,0m 40s
38,0.482,0.8303,0.5544,0.809,1636213869,0m 40s
39,0.4839,0.8285,0.5534,0.8113,1636213909,0m 40s
40,0.4838,0.8302,0.5549,0.8102,1636213950,0m 40s
41,0.481,0.8316,0.5536,0.8094,1636213990,0m 40s
42,0.4827,0.8288,0.5519,0.8105,1636214031,0m 40s
43,0.4848,0.8285,0.5564,0.8107,1636214071,0m 41s
44,0.482,0.8293,0.5562,0.8092,1636214112,0m 41s
45,0.4841,0.8303,0.5543,0.8089,1636214152,0m 40s
46,0.4837,0.831,0.5528,0.8124,1636214193,0m 41s
47,0.4869,0.8288,0.5528,0.8102,1636214233,0m 40s
48,0.4831,0.8286,0.553,0.8103,1636214279,0m 46s
49,0.4867,0.8302,0.5533,0.8104,1636214320,0m 40s
