Epoch,Train_loss,Train_acc,val_loss,Val_acc,time,Elasttime
0,1.311,0.5374,0.9415,0.667,1636054630,0m 45s
1,0.8989,0.6853,0.7917,0.7213,1636054677,0m 47s
2,0.7718,0.7305,0.7103,0.7561,1636054721,0m 44s
3,0.6999,0.7565,0.658,0.7725,1636054768,0m 47s
4,0.6463,0.7744,0.6247,0.786,1636054815,0m 47s
5,0.5976,0.791,0.6018,0.7907,1636054858,0m 43s
6,0.5694,0.8002,0.5806,0.8002,1636054903,0m 45s
7,0.5192,0.8181,0.5685,0.8043,1636054949,0m 46s
8,0.5113,0.8203,0.5669,0.8035,1636054999,0m 50s
9,0.5056,0.8223,0.5636,0.8052,1636055045,0m 46s
10,0.4985,0.8265,0.5566,0.8075,1636055092,0m 47s
11,0.4975,0.8264,0.559,0.8073,1636055136,0m 44s
12,0.496,0.8248,0.556,0.8077,1636055185,0m 49s
13,0.4915,0.8282,0.5543,0.8097,1636055237,0m 52s
14,0.4837,0.8291,0.5545,0.8089,1636055286,0m 49s
15,0.4832,0.831,0.5556,0.8067,1636055337,0m 51s
16,0.4846,0.8306,0.5559,0.8076,1636055389,0m 51s
17,0.4867,0.8289,0.5545,0.8089,1636055435,0m 46s
18,0.4858,0.8299,0.555,0.8079,1636055482,0m 47s
19,0.4866,0.8304,0.5524,0.8079,1636055526,0m 44s
20,0.4803,0.8313,0.555,0.8101,1636055570,0m 44s
21,0.4826,0.8292,0.5555,0.8109,1636055615,0m 45s
22,0.4794,0.8313,0.5551,0.8076,1636055661,0m 46s
23,0.4883,0.8268,0.5538,0.8083,1636055708,0m 47s
24,0.4824,0.8303,0.5541,0.8102,1636055755,0m 47s
25,0.4811,0.831,0.5549,0.8098,1636055802,0m 47s
26,0.4802,0.8326,0.557,0.8096,1636055845,0m 43s
27,0.4795,0.8315,0.5549,0.8082,1636055891,0m 46s
28,0.4817,0.8301,0.5567,0.8102,1636055934,0m 43s
29,0.4814,0.8312,0.5532,0.8071,1636055977,0m 43s
30,0.4838,0.8303,0.5557,0.81,1636056023,0m 46s
31,0.4826,0.8297,0.5543,0.8091,1636056063,0m 40s
32,0.4804,0.8318,0.5513,0.808,1636056108,0m 45s
33,0.4823,0.8303,0.554,0.8078,1636056151,0m 43s
34,0.4811,0.8322,0.5534,0.8079,1636056192,0m 41s
35,0.4821,0.8295,0.5535,0.81,1636056236,0m 45s
36,0.4786,0.8303,0.5531,0.8078,1636056278,0m 41s
37,0.4789,0.8312,0.5529,0.8094,1636056321,0m 43s
38,0.479,0.832,0.5538,0.8085,1636056366,0m 45s
39,0.4805,0.8292,0.5538,0.8065,1636056411,0m 45s
40,0.4805,0.8307,0.5542,0.8096,1636056457,0m 46s
41,0.4813,0.83,0.5578,0.807,1636056504,0m 47s
42,0.4825,0.8299,0.5553,0.8048,1636056549,0m 46s
43,0.4822,0.8292,0.5572,0.8083,1636056595,0m 46s
44,0.4796,0.8308,0.5587,0.8085,1636056640,0m 45s
45,0.4795,0.8319,0.5542,0.8077,1636056680,0m 41s
46,0.4806,0.8325,0.5554,0.8069,1636056724,0m 44s
47,0.4817,0.8318,0.5551,0.8066,1636056768,0m 44s
48,0.4835,0.8299,0.5522,0.8077,1636056815,0m 47s
49,0.482,0.831,0.5552,0.81,1636056858,0m 43s
