Epoch,Train_loss,Train_acc,val_loss,Val_acc,time,Elasttime
0,1.3053,0.5394,0.9433,0.6655,1636210175,0m 41s
1,0.8955,0.6876,0.7754,0.7297,1636210216,0m 41s
2,0.7717,0.7301,0.7142,0.7532,1636210257,0m 41s
3,0.6984,0.7574,0.6486,0.7736,1636210298,0m 41s
4,0.6429,0.776,0.6285,0.7862,1636210339,0m 41s
5,0.6006,0.7901,0.603,0.7936,1636210380,0m 41s
6,0.5678,0.8014,0.5751,0.7992,1636210421,0m 41s
7,0.5186,0.8174,0.5624,0.8043,1636210462,0m 41s
8,0.5147,0.82,0.562,0.8047,1636210502,0m 41s
9,0.5059,0.8213,0.5571,0.8085,1636210543,0m 41s
10,0.499,0.8239,0.5622,0.8053,1636210584,0m 41s
11,0.4965,0.8251,0.5542,0.8102,1636210625,0m 41s
12,0.4923,0.828,0.5532,0.809,1636210666,0m 41s
13,0.4892,0.8268,0.5501,0.8131,1636210707,0m 41s
14,0.4862,0.8291,0.5516,0.8116,1636210748,0m 41s
15,0.4825,0.8309,0.5524,0.8103,1636210789,0m 41s
16,0.4862,0.8294,0.556,0.8093,1636210829,0m 41s
17,0.4818,0.8289,0.5507,0.8102,1636210870,0m 41s
18,0.4839,0.8307,0.5489,0.8119,1636210911,0m 41s
19,0.4884,0.8279,0.5507,0.8109,1636210952,0m 41s
20,0.4817,0.8291,0.5508,0.8113,1636210993,0m 41s
21,0.4802,0.829,0.548,0.8124,1636211034,0m 41s
22,0.479,0.8319,0.5488,0.8118,1636211075,0m 41s
23,0.4832,0.8297,0.5507,0.8113,1636211115,0m 41s
24,0.4842,0.8292,0.5521,0.8106,1636211156,0m 41s
25,0.4824,0.8302,0.5492,0.8116,1636211197,0m 41s
26,0.4767,0.8329,0.5478,0.8145,1636211238,0m 41s
27,0.4854,0.8276,0.5511,0.8099,1636211279,0m 41s
28,0.4834,0.8295,0.5484,0.8113,1636211320,0m 41s
29,0.4807,0.8308,0.5504,0.8123,1636211361,0m 41s
30,0.481,0.8305,0.5497,0.8124,1636211402,0m 41s
31,0.4837,0.8304,0.5485,0.8121,1636211442,0m 41s
32,0.4826,0.8298,0.547,0.8125,1636211483,0m 41s
33,0.4867,0.8284,0.5498,0.8122,1636211524,0m 41s
34,0.4781,0.831,0.55,0.8121,1636211565,0m 41s
35,0.4789,0.8303,0.549,0.811,1636211606,0m 41s
36,0.4781,0.8334,0.5489,0.8118,1636211646,0m 41s
37,0.4771,0.8303,0.548,0.812,1636211691,0m 45s
38,0.4763,0.8323,0.5515,0.8093,1636211738,0m 47s
39,0.4818,0.8297,0.5488,0.8127,1636211782,0m 43s
40,0.4791,0.8312,0.5476,0.8127,1636211822,0m 40s
41,0.4853,0.8287,0.5497,0.8118,1636211861,0m 40s
42,0.4785,0.8334,0.5481,0.8123,1636211901,0m 40s
43,0.4802,0.8311,0.5493,0.8121,1636211941,0m 40s
44,0.4787,0.8296,0.5506,0.8118,1636211981,0m 40s
45,0.4766,0.8321,0.548,0.8129,1636212022,0m 41s
46,0.4805,0.8304,0.5499,0.8125,1636212067,0m 45s
47,0.483,0.8298,0.5487,0.813,1636212108,0m 41s
48,0.4795,0.8318,0.5496,0.8115,1636212149,0m 41s
49,0.4802,0.8296,0.551,0.8131,1636212190,0m 41s
