Model,type,Dataset,Epoch,criterion,optimizer,scheduler,Train_loss,Train_acc,val_loss,Val_acc,time,Elapse_time,date
<tensorflow.python.keras.engine.functional.Functional object at 0x7f8cb94dcd30>,tensorflow,hymenoptera,0,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f8cd994da00>,,3.811401605606079,0.3258500099182129,3.450869560241699,0.4169999957084656,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f8cb94dcd30>,tensorflow,hymenoptera,1,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f8cd994da00>,,3.2859413623809814,0.47452500462532043,3.092148780822754,0.5480999946594238,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f8cb94dcd30>,tensorflow,hymenoptera,2,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f8cd994da00>,,3.0214805603027344,0.5669249892234802,2.902876615524292,0.6132000088691711,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f8cb94dcd30>,tensorflow,hymenoptera,3,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f8cd994da00>,,2.8315351009368896,0.6373249888420105,2.761181354522705,0.6571999788284302,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f8cb94dcd30>,tensorflow,hymenoptera,4,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f8cd994da00>,,2.680783748626709,0.68954998254776,2.698483467102051,0.6776000261306763,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f8cb94dcd30>,tensorflow,hymenoptera,5,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f8cd994da00>,,2.5564160346984863,0.7273749709129333,2.686966896057129,0.6866999864578247,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f8cb94dcd30>,tensorflow,hymenoptera,6,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f8cd994da00>,,2.443284273147583,0.7656999826431274,2.6542937755584717,0.6995999813079834,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f8cb94dcd30>,tensorflow,hymenoptera,7,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f8cd994da00>,,2.335536241531372,0.7994250059127808,2.597755193710327,0.7135999798774719,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f8cb94dcd30>,tensorflow,hymenoptera,8,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f8cd994da00>,,2.228522539138794,0.8384749889373779,2.564134359359741,0.7232999801635742,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f8cb94dcd30>,tensorflow,hymenoptera,9,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f8cd994da00>,,2.125498056411743,0.871874988079071,2.5544447898864746,0.732200026512146,,,2021-10-29
