Model,type,Dataset,Epoch,criterion,optimizer,scheduler,Train_loss,Train_acc,val_loss,Val_acc,time,Elapse_time,date
<tensorflow.python.keras.engine.functional.Functional object at 0x7fde10b32e50>,tensorflow,hymenoptera,0,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fde10d8daf0>,,3.8262996673583984,0.3185249865055084,3.542602777481079,0.38280001282691956,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fde10b32e50>,tensorflow,hymenoptera,1,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fde10d8daf0>,,3.3026316165924072,0.47475001215934753,3.0621581077575684,0.5544000267982483,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fde10b32e50>,tensorflow,hymenoptera,2,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fde10d8daf0>,,3.045546531677246,0.5633749961853027,2.9747519493103027,0.5861999988555908,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fde10b32e50>,tensorflow,hymenoptera,3,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fde10d8daf0>,,2.8508565425872803,0.62642502784729,2.7897253036499023,0.6456999778747559,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fde10b32e50>,tensorflow,hymenoptera,4,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fde10d8daf0>,,2.697849750518799,0.6819000244140625,2.7155041694641113,0.6730999946594238,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fde10b32e50>,tensorflow,hymenoptera,5,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fde10d8daf0>,,2.5620665550231934,0.7251499891281128,2.6427085399627686,0.6926000118255615,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fde10b32e50>,tensorflow,hymenoptera,6,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fde10d8daf0>,,2.4413864612579346,0.765874981880188,2.643833637237549,0.697700023651123,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fde10b32e50>,tensorflow,hymenoptera,7,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fde10d8daf0>,,2.331646203994751,0.8022249937057495,2.6335294246673584,0.7057999968528748,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fde10b32e50>,tensorflow,hymenoptera,8,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fde10d8daf0>,,2.2305870056152344,0.8355249762535095,2.6138675212860107,0.7110000252723694,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fde10b32e50>,tensorflow,hymenoptera,9,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fde10d8daf0>,,2.1295742988586426,0.867900013923645,2.6076455116271973,0.7178000211715698,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fde10b32e50>,tensorflow,hymenoptera,10,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fde10d8daf0>,,2.0369222164154053,0.8998749852180481,2.5658183097839355,0.7368000149726868,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fde10b32e50>,tensorflow,hymenoptera,11,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fde10d8daf0>,,1.9554369449615479,0.9253749847412109,2.6346819400787354,0.7265999913215637,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fde10b32e50>,tensorflow,hymenoptera,12,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fde10d8daf0>,,1.897188425064087,0.9423499703407288,2.7374846935272217,0.722000002861023,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fde10b32e50>,tensorflow,hymenoptera,13,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fde10d8daf0>,,1.8379838466644287,0.9608500003814697,2.6184377670288086,0.7457000017166138,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fde10b32e50>,tensorflow,hymenoptera,14,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fde10d8daf0>,,1.794087529182434,0.9729250073432922,2.8445074558258057,0.7093999981880188,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fde10b32e50>,tensorflow,hymenoptera,15,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fde10d8daf0>,,1.7628960609436035,0.9800000190734863,2.64862060546875,0.742900013923645,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fde10b32e50>,tensorflow,hymenoptera,16,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fde10d8daf0>,,1.7343801259994507,0.9857000112533569,2.7134146690368652,0.7404999732971191,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fde10b32e50>,tensorflow,hymenoptera,17,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fde10d8daf0>,,1.7160528898239136,0.9882500171661377,2.688131332397461,0.7409999966621399,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fde10b32e50>,tensorflow,hymenoptera,18,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fde10d8daf0>,,1.6957536935806274,0.9909999966621399,2.734320640563965,0.7409999966621399,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fde10b32e50>,tensorflow,hymenoptera,19,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fde10d8daf0>,,1.6785080432891846,0.9933000206947327,2.7317817211151123,0.7418000102043152,,,2021-10-29
