Model,type,Dataset,Epoch,criterion,optimizer,scheduler,Train_loss,Train_acc,val_loss,Val_acc,time,Elapse_time,date
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,0,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,3.809563636779785,0.32600000500679016,3.4512839317321777,0.4180999994277954,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,1,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,3.2826321125030518,0.48512500524520874,3.0477590560913086,0.5562999844551086,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,2,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,3.0177385807037354,0.573199987411499,2.933365821838379,0.6015999913215637,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,3,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,2.8326361179351807,0.6361500024795532,2.8098437786102295,0.642300009727478,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,4,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,2.672070026397705,0.692924976348877,2.7065377235412598,0.677299976348877,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,5,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,2.546696424484253,0.7331249713897705,2.765294075012207,0.6614000201225281,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,6,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,2.426800489425659,0.7732250094413757,2.6870036125183105,0.683899998664856,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,7,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,2.313218832015991,0.812250018119812,2.6591553688049316,0.7003999948501587,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,8,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,2.209350109100342,0.8460749983787537,2.7200095653533936,0.6888999938964844,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,9,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,2.110673189163208,0.8760499954223633,2.752821207046509,0.6965000033378601,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,10,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,2.021807909011841,0.9053999781608582,2.532564163208008,0.7465999722480774,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,11,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.9482382535934448,0.9286249876022339,2.661623954772949,0.7235000133514404,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,12,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.8844428062438965,0.9479749798774719,2.823678970336914,0.6978999972343445,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,13,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.829944133758545,0.9639000296592712,2.758394479751587,0.7116000056266785,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,14,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.7954728603363037,0.9715250134468079,2.613391876220703,0.7448999881744385,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,15,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.7685093879699707,0.9777500033378601,2.7487940788269043,0.7193999886512756,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,16,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.7400028705596924,0.984375,2.6602582931518555,0.7409999966621399,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,17,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.715354323387146,0.9886500239372253,2.680574893951416,0.7458999752998352,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,18,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.701796531677246,0.9892749786376953,2.748140811920166,0.7311999797821045,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,19,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.6838345527648926,0.9919000267982483,2.6534650325775146,0.7526000142097473,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,20,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.6655417680740356,0.9940500259399414,2.650973320007324,0.7516999840736389,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,21,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.6538504362106323,0.9945999979972839,2.6706979274749756,0.7487999796867371,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,22,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.6380844116210938,0.9966999888420105,2.633310079574585,0.7608000040054321,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,23,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.6238919496536255,0.9976999759674072,2.6299643516540527,0.7583000063896179,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,24,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.6116045713424683,0.9983999729156494,2.632732391357422,0.7549999952316284,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,25,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.600367546081543,0.9986000061035156,2.5754551887512207,0.7681000232696533,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,26,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.5883467197418213,0.9989749789237976,2.6113312244415283,0.7633000016212463,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,27,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.5775554180145264,0.9992250204086304,2.5726089477539062,0.7710999846458435,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,28,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.567336916923523,0.9993249773979187,2.6141490936279297,0.7616000175476074,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,29,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.5608465671539307,0.9982249736785889,2.6152570247650146,0.758400022983551,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,30,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.5484119653701782,0.9991999864578247,2.583916425704956,0.7684999704360962,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,31,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.5380675792694092,0.9991999864578247,2.6099460124969482,0.7545999884605408,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,32,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.5271512269973755,0.999625027179718,2.5591282844543457,0.7652000188827515,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,33,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.5173040628433228,0.999625027179718,2.552743673324585,0.7670000195503235,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,34,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.507435917854309,0.9997249841690063,2.5617902278900146,0.766700029373169,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,35,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.4984989166259766,0.9995999932289124,2.519688844680786,0.7699000239372253,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,36,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.4884564876556396,0.9998250007629395,2.5307624340057373,0.7663000226020813,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,37,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.4786959886550903,0.9998499751091003,2.5042836666107178,0.7694000005722046,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,38,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.4694103002548218,0.9999499917030334,2.4956612586975098,0.7753000259399414,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,39,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.4599590301513672,0.9999250173568726,2.4859941005706787,0.7736999988555908,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,40,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.4511141777038574,0.999875009059906,2.506988286972046,0.770799994468689,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,41,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.4415388107299805,0.9999750256538391,2.4744372367858887,0.7721999883651733,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,42,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.4322861433029175,0.9999750256538391,2.4642069339752197,0.7735000252723694,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,43,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.4234871864318848,0.9998999834060669,2.4620442390441895,0.7728999853134155,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,44,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.4148216247558594,0.9999250173568726,2.4608795642852783,0.7700999975204468,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,45,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.406006097793579,0.9998999834060669,2.4920167922973633,0.7688999772071838,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,46,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.397566556930542,0.9998250007629395,2.474902629852295,0.7689999938011169,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,47,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.3882076740264893,1.0,2.4322738647460938,0.7735000252723694,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,48,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.3801722526550293,0.999750018119812,2.4508633613586426,0.7705000042915344,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7f24a854a670>,tensorflow,hymenoptera,49,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f2425bb2460>,,1.3709657192230225,0.9999499917030334,2.421154260635376,0.7713000178337097,,,2021-10-29
