Epoch,optimizer,Train_loss,Train_acc,val_loss,Val_acc,time,Elapse_time,date
1,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)",0.529823766,0.730053333,0.44733128,0.7936,1635947051,33.05914378,2021-11-03
2,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)",0.388328881,0.832346667,0.377857561,0.8328,1635947084,33.11822701,2021-11-03
3,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)",0.349315686,0.851466667,0.362866858,0.84632,1635947117,33.14004827,2021-11-03
4,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)",0.321319375,0.86608,0.362582107,0.8444,1635947151,33.06988883,2021-11-03
5,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)",0.308085329,0.872026667,0.386204236,0.84512,1635947184,33.11134672,2021-11-03
6,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)",0.273307545,0.889066667,0.359061293,0.84824,1635947221,37.42208457,2021-11-03
7,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)",0.246566945,0.899173333,0.410917584,0.84296,1635947259,37.47425103,2021-11-03
8,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)",0.21468956,0.914773333,0.406816634,0.8448,1635947296,37.49000216,2021-11-03
9,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)",0.16598328,0.935973333,0.469041446,0.83872,1635947333,36.49986506,2021-11-03
10,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)",0.112339537,0.958533333,0.562518465,0.83992,1635947368,35.05875754,2021-11-03
11,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)",0.074245958,0.97312,0.636500665,0.82664,1635947403,35.38585234,2021-11-03
12,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)",0.052354103,0.981626667,0.808982394,0.82912,1635947438,35.34260869,2021-11-03
13,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)",0.039076098,0.98648,0.896682074,0.83312,1635947472,33.19022703,2021-11-03
14,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)",0.023378281,0.992613333,1.010755196,0.83408,1635947505,33.1502738,2021-11-03
15,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)",0.028271256,0.990586667,0.94556947,0.836,1635947538,33.16824985,2021-11-03
16,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)",0.028154802,0.99024,0.9539781,0.8328,1635947571,33.16495848,2021-11-03
17,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)",0.017509816,0.994506667,0.965672425,0.82888,1635947604,33.11712384,2021-11-03
18,"Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)",0.01513617,0.995093333,1.0982663,0.82264,1635947637,33.13251328,2021-11-03
