Epoch,Train_loss,Train_acc,val_loss,Val_acc,time,Elasttime
0,1.241,0.5631,0.7492,0.7395,1635959640,0m 47s
1,0.7338,0.7455,0.5925,0.7934,1635959687,0m 47s
2,0.6037,0.7919,0.5288,0.8174,1635959733,0m 46s
3,0.5299,0.8165,0.5017,0.8291,1635959779,0m 46s
4,0.4732,0.8371,0.46,0.8441,1635959825,0m 46s
5,0.4342,0.8494,0.4357,0.8534,1635959871,0m 46s
6,0.407,0.8593,0.417,0.8576,1635959917,0m 46s
7,0.3641,0.873,0.4082,0.8613,1635959963,0m 46s
8,0.3566,0.8765,0.4077,0.8617,1635960009,0m 46s
9,0.3497,0.8803,0.4061,0.8631,1635960055,0m 46s
10,0.3489,0.8785,0.4038,0.8636,1635960101,0m 46s
11,0.3403,0.8807,0.4013,0.8654,1635960147,0m 46s
12,0.3388,0.8816,0.4026,0.8646,1635960193,0m 46s
13,0.3309,0.8834,0.3989,0.8663,1635960239,0m 46s
14,0.3323,0.8834,0.4015,0.8658,1635960285,0m 46s
15,0.3317,0.8837,0.4003,0.866,1635960331,0m 46s
16,0.3306,0.8848,0.4002,0.8657,1635960377,0m 46s
17,0.3279,0.8857,0.4023,0.8667,1635960429,0m 51s
18,0.3272,0.8849,0.3982,0.8673,1635960475,0m 46s
19,0.3307,0.8843,0.399,0.8659,1635960521,0m 46s
20,0.3249,0.8864,0.3995,0.8677,1635960567,0m 46s
21,0.3276,0.8861,0.4007,0.8663,1635960613,0m 46s
22,0.3275,0.884,0.4001,0.8673,1635960659,0m 46s
23,0.3303,0.8861,0.4014,0.8667,1635960705,0m 46s
24,0.3331,0.884,0.4004,0.867,1635960752,0m 46s
25,0.3279,0.8847,0.4001,0.867,1635960798,0m 46s
26,0.3284,0.8846,0.4008,0.8665,1635960844,0m 46s
27,0.3299,0.8856,0.4016,0.8661,1635960890,0m 46s
28,0.3308,0.8849,0.3981,0.8661,1635960936,0m 46s
29,0.3285,0.8847,0.399,0.8665,1635960982,0m 46s
30,0.3278,0.8867,0.4,0.868,1635961029,0m 46s
31,0.329,0.8844,0.3996,0.8664,1635961075,0m 46s
32,0.3297,0.8849,0.3996,0.866,1635961121,0m 46s
33,0.3296,0.8838,0.4006,0.8659,1635961167,0m 46s
34,0.3304,0.8846,0.3999,0.8657,1635961213,0m 46s
35,0.3321,0.8864,0.3993,0.8661,1635961259,0m 46s
36,0.3308,0.8844,0.3985,0.8666,1635961305,0m 46s
37,0.3251,0.8849,0.3995,0.8668,1635961351,0m 46s
38,0.3285,0.8847,0.3981,0.8663,1635961397,0m 46s
39,0.327,0.8849,0.3994,0.8663,1635961443,0m 46s
40,0.3284,0.8863,0.398,0.8659,1635961489,0m 46s
41,0.3271,0.8846,0.4003,0.8659,1635961535,0m 46s
42,0.3274,0.8856,0.4007,0.8648,1635961582,0m 46s
43,0.3279,0.8845,0.3973,0.866,1635961628,0m 46s
44,0.3306,0.8848,0.4001,0.8665,1635961674,0m 46s
45,0.3262,0.8859,0.3988,0.8671,1635961720,0m 46s
46,0.3271,0.8857,0.3985,0.8673,1635961767,0m 46s
47,0.3276,0.8858,0.4005,0.866,1635961816,0m 49s
48,0.3328,0.8836,0.3987,0.8677,1635961863,0m 47s
49,0.328,0.8847,0.3996,0.8687,1635961910,0m 46s
