Epoch,Train_loss,Train_acc,val_loss,Val_acc,time,Elasttime
0,1.2365,0.5653,0.7331,0.7432,1636033679,0m 47s
1,0.731,0.746,0.5911,0.7977,1636033725,0m 47s
2,0.6026,0.7894,0.5253,0.8158,1636033771,0m 46s
3,0.5263,0.8179,0.494,0.8292,1636033818,0m 46s
4,0.4738,0.8344,0.4515,0.8457,1636033864,0m 46s
5,0.4314,0.8496,0.4315,0.8542,1636033911,0m 46s
6,0.3993,0.8627,0.4205,0.8549,1636033957,0m 46s
7,0.3631,0.8741,0.407,0.8623,1636034003,0m 46s
8,0.3564,0.8747,0.4054,0.864,1636034050,0m 46s
9,0.3578,0.8751,0.406,0.8634,1636034096,0m 46s
10,0.3467,0.8785,0.4014,0.8632,1636034142,0m 46s
11,0.3472,0.8787,0.4015,0.8657,1636034189,0m 46s
12,0.3394,0.8816,0.397,0.8663,1636034235,0m 46s
13,0.3388,0.8816,0.3933,0.8669,1636034282,0m 46s
14,0.3301,0.8839,0.3955,0.8672,1636034328,0m 46s
15,0.3304,0.8843,0.394,0.8674,1636034374,0m 46s
16,0.3325,0.8836,0.3937,0.8678,1636034421,0m 46s
17,0.3302,0.8848,0.3926,0.868,1636034467,0m 46s
18,0.3314,0.884,0.3933,0.8672,1636034513,0m 46s
19,0.3331,0.8854,0.3926,0.8681,1636034560,0m 46s
20,0.3315,0.8828,0.3929,0.8688,1636034606,0m 46s
21,0.327,0.8847,0.3956,0.8675,1636034652,0m 46s
22,0.3271,0.8864,0.3961,0.8698,1636034699,0m 46s
23,0.3316,0.8847,0.3945,0.8685,1636034745,0m 46s
24,0.3294,0.8847,0.3932,0.8678,1636034792,0m 46s
25,0.3265,0.887,0.395,0.8682,1636034838,0m 46s
26,0.3294,0.886,0.3927,0.8682,1636034884,0m 46s
27,0.3298,0.8851,0.3913,0.8685,1636034931,0m 46s
28,0.3282,0.886,0.3942,0.8685,1636034977,0m 47s
29,0.3292,0.8844,0.3928,0.8688,1636035024,0m 47s
30,0.3303,0.884,0.3932,0.8685,1636035070,0m 46s
31,0.3277,0.8861,0.392,0.8684,1636035117,0m 46s
32,0.327,0.8849,0.3957,0.8683,1636035163,0m 46s
33,0.3249,0.8866,0.3935,0.8677,1636035210,0m 46s
34,0.3341,0.8841,0.3927,0.8684,1636035256,0m 46s
35,0.3275,0.8852,0.3929,0.8685,1636035303,0m 46s
36,0.3285,0.8845,0.3941,0.8689,1636035349,0m 46s
37,0.3274,0.886,0.3923,0.8674,1636035395,0m 46s
38,0.3273,0.8861,0.3924,0.8702,1636035442,0m 46s
39,0.3308,0.8853,0.393,0.8677,1636035488,0m 46s
40,0.3283,0.8864,0.3939,0.8694,1636035535,0m 47s
41,0.3322,0.8848,0.3948,0.8675,1636035583,0m 48s
42,0.3274,0.8856,0.3936,0.8674,1636035629,0m 47s
43,0.3339,0.8839,0.3929,0.8683,1636035679,0m 50s
44,0.33,0.8846,0.3942,0.87,1636035730,0m 52s
45,0.33,0.8843,0.3933,0.8671,1636035782,0m 52s
46,0.3299,0.8848,0.3943,0.8688,1636035835,0m 53s
47,0.331,0.8862,0.3934,0.8678,1636035888,0m 53s
48,0.3267,0.8868,0.394,0.8681,1636035936,0m 49s
49,0.33,0.8853,0.3927,0.8685,1636035983,0m 46s
