Epoch,Train_loss,Train_acc,val_loss,Val_acc,time,Elasttime
0,1.2621,0.5535,0.7645,0.7339,1635956136,0m 47s
1,0.7469,0.742,0.6079,0.7921,1635956183,0m 47s
2,0.6169,0.7863,0.536,0.8164,1635956230,0m 47s
3,0.5331,0.815,0.4813,0.8354,1635956277,0m 47s
4,0.4819,0.8327,0.4573,0.8427,1635956324,0m 47s
5,0.4422,0.8466,0.4338,0.8536,1635956371,0m 47s
6,0.4028,0.8607,0.418,0.86,1635956418,0m 47s
7,0.3701,0.8708,0.4136,0.8599,1635956464,0m 47s
8,0.3592,0.8741,0.4129,0.8602,1635956511,0m 47s
9,0.3571,0.8759,0.4064,0.8619,1635956558,0m 47s
10,0.3535,0.8782,0.4071,0.8632,1635956605,0m 47s
11,0.3528,0.8783,0.4027,0.8639,1635956652,0m 47s
12,0.348,0.8787,0.4006,0.866,1635956699,0m 47s
13,0.3402,0.8809,0.4046,0.8623,1635956746,0m 47s
14,0.3361,0.8836,0.3996,0.8652,1635956792,0m 47s
15,0.3399,0.8822,0.4017,0.8663,1635956839,0m 47s
16,0.3373,0.8831,0.3982,0.8665,1635956886,0m 47s
17,0.339,0.8813,0.4019,0.8655,1635956933,0m 47s
18,0.3398,0.8816,0.4013,0.8648,1635956980,0m 47s
19,0.3356,0.8824,0.403,0.864,1635957027,0m 47s
20,0.3366,0.8826,0.3992,0.8649,1635957074,0m 47s
21,0.3383,0.8826,0.4012,0.8655,1635957121,0m 47s
22,0.3346,0.8831,0.3997,0.8652,1635957167,0m 47s
23,0.3357,0.8841,0.3984,0.865,1635957214,0m 47s
24,0.3345,0.883,0.3976,0.865,1635957261,0m 47s
25,0.3394,0.8813,0.3965,0.8673,1635957308,0m 47s
26,0.3368,0.8831,0.3983,0.865,1635957355,0m 47s
27,0.335,0.8831,0.3985,0.8663,1635957402,0m 47s
28,0.3381,0.8816,0.399,0.866,1635957448,0m 47s
29,0.3342,0.8825,0.3997,0.8657,1635957495,0m 47s
30,0.333,0.8826,0.3993,0.8648,1635957542,0m 47s
31,0.3357,0.8831,0.3992,0.8654,1635957590,0m 48s
32,0.3356,0.8842,0.3987,0.8651,1635957637,0m 47s
33,0.3312,0.8861,0.4012,0.866,1635957683,0m 47s
34,0.3359,0.8823,0.3979,0.8657,1635957730,0m 47s
35,0.3337,0.8826,0.3966,0.8666,1635957777,0m 47s
36,0.3388,0.8817,0.3984,0.8664,1635957823,0m 47s
37,0.3337,0.8844,0.3983,0.8651,1635957870,0m 47s
38,0.3376,0.8821,0.4002,0.865,1635957917,0m 47s
39,0.3347,0.8846,0.399,0.8646,1635957963,0m 47s
40,0.3369,0.8836,0.3965,0.8659,1635958010,0m 47s
41,0.333,0.8843,0.399,0.8652,1635958057,0m 47s
42,0.3373,0.8831,0.4006,0.8651,1635958103,0m 47s
43,0.3343,0.8833,0.3986,0.8649,1635958150,0m 47s
44,0.3369,0.8828,0.398,0.866,1635958197,0m 47s
45,0.3348,0.8838,0.3988,0.8649,1635958243,0m 47s
46,0.3366,0.8826,0.3993,0.8647,1635958290,0m 47s
47,0.3342,0.8829,0.398,0.8658,1635958337,0m 47s
48,0.334,0.8834,0.3992,0.8645,1635958383,0m 47s
49,0.3416,0.8811,0.4003,0.8658,1635958430,0m 47s
