Epoch,Train_loss,Train_acc,val_loss,Val_acc,time,Elasttime
0,1.2431,0.5608,0.7543,0.7364,1635983511,0m 50s
1,0.7371,0.7452,0.6074,0.7896,1635983559,0m 47s
2,0.6059,0.7908,0.5356,0.8153,1635983606,0m 47s
3,0.533,0.8176,0.4916,0.8289,1635983653,0m 48s
4,0.485,0.832,0.4581,0.8428,1635983703,0m 50s
5,0.4411,0.8474,0.4311,0.8528,1635983751,0m 48s
6,0.404,0.8599,0.4218,0.8579,1635983800,0m 49s
7,0.3664,0.8731,0.4143,0.8613,1635983848,0m 48s
8,0.3607,0.8757,0.4122,0.864,1635983896,0m 48s
9,0.3568,0.8765,0.4088,0.8623,1635983946,0m 50s
10,0.3538,0.8772,0.406,0.8652,1635983998,0m 52s
11,0.3476,0.8795,0.4077,0.863,1635984045,0m 47s
12,0.3435,0.88,0.4004,0.8659,1635984093,0m 49s
13,0.3365,0.8825,0.4003,0.8656,1635984142,0m 48s
14,0.3343,0.8838,0.4031,0.8657,1635984188,0m 47s
15,0.3346,0.8851,0.4023,0.8673,1635984235,0m 47s
16,0.3344,0.8834,0.4004,0.8667,1635984282,0m 47s
17,0.3307,0.8849,0.3995,0.8663,1635984329,0m 47s
18,0.3343,0.8836,0.4,0.8676,1635984376,0m 47s
19,0.3343,0.885,0.4,0.8677,1635984422,0m 47s
20,0.3303,0.8854,0.3986,0.8679,1635984469,0m 47s
21,0.3319,0.8855,0.4,0.8671,1635984519,0m 50s
22,0.3349,0.8844,0.4013,0.865,1635984565,0m 47s
23,0.3316,0.8842,0.3989,0.867,1635984612,0m 47s
24,0.3289,0.8862,0.3993,0.8671,1635984661,0m 49s
25,0.3352,0.8823,0.3985,0.8668,1635984710,0m 49s
26,0.3358,0.883,0.4001,0.8668,1635984759,0m 49s
27,0.3322,0.8847,0.4,0.8668,1635984807,0m 48s
28,0.3299,0.8852,0.398,0.8676,1635984857,0m 50s
29,0.3285,0.8849,0.4002,0.8664,1635984906,0m 49s
30,0.3331,0.884,0.399,0.8673,1635984952,0m 46s
31,0.3349,0.8827,0.3999,0.8667,1635984999,0m 47s
32,0.3347,0.8829,0.3996,0.8676,1635985046,0m 47s
33,0.3316,0.8831,0.4002,0.8682,1635985094,0m 48s
34,0.3291,0.8857,0.4,0.8663,1635985143,0m 48s
35,0.3315,0.8844,0.4001,0.8667,1635985190,0m 47s
36,0.3309,0.8853,0.4016,0.8666,1635985236,0m 47s
37,0.3342,0.8838,0.3999,0.8664,1635985283,0m 47s
38,0.3294,0.8851,0.4005,0.8673,1635985332,0m 48s
39,0.3349,0.8833,0.3997,0.8666,1635985379,0m 47s
40,0.335,0.8847,0.3992,0.8682,1635985427,0m 48s
41,0.3311,0.8849,0.3984,0.8668,1635985475,0m 48s
42,0.3337,0.8837,0.4032,0.8669,1635985523,0m 48s
43,0.3307,0.8856,0.3976,0.8664,1635985574,0m 51s
44,0.3332,0.8836,0.4005,0.868,1635985623,0m 49s
45,0.331,0.8843,0.3981,0.8664,1635985670,0m 47s
46,0.3334,0.8844,0.3994,0.8672,1635985717,0m 47s
47,0.3315,0.8833,0.4007,0.8668,1635985765,0m 48s
48,0.3306,0.8844,0.3982,0.8679,1635985812,0m 47s
49,0.3291,0.8861,0.4007,0.8674,1635985866,0m 54s
