Epoch,Train_loss,Train_acc,val_loss,Val_acc,time,Elasttime
0,1.2352,0.5669,0.7435,0.7398,1636044399,0m 53s
1,0.7357,0.7451,0.583,0.7987,1636044451,0m 52s
2,0.6046,0.7916,0.5318,0.8125,1636044498,0m 47s
3,0.5292,0.8166,0.4819,0.8338,1636044545,0m 47s
4,0.4787,0.8341,0.458,0.8451,1636044593,0m 48s
5,0.4395,0.8476,0.4351,0.8517,1636044641,0m 49s
6,0.3977,0.8619,0.4217,0.8558,1636044690,0m 48s
7,0.3673,0.8718,0.4112,0.8629,1636044738,0m 48s
8,0.3559,0.8764,0.4088,0.8634,1636044786,0m 48s
9,0.3545,0.8761,0.4046,0.8645,1636044835,0m 49s
10,0.3502,0.8773,0.4051,0.8638,1636044883,0m 48s
11,0.347,0.8792,0.4049,0.8642,1636044933,0m 50s
12,0.3434,0.8804,0.4025,0.8646,1636044985,0m 52s
13,0.3384,0.8839,0.4008,0.867,1636045037,0m 52s
14,0.3329,0.8842,0.3994,0.8664,1636045088,0m 51s
15,0.3341,0.8832,0.4004,0.8667,1636045136,0m 48s
16,0.3332,0.8853,0.4026,0.866,1636045182,0m 47s
17,0.3395,0.8831,0.4011,0.8672,1636045231,0m 48s
18,0.3334,0.8852,0.4001,0.8661,1636045280,0m 50s
19,0.3345,0.8844,0.4049,0.8647,1636045332,0m 51s
20,0.3338,0.8823,0.3999,0.8658,1636045384,0m 52s
21,0.3341,0.8829,0.4041,0.8662,1636045438,0m 54s
22,0.331,0.885,0.4013,0.8654,1636045492,0m 54s
23,0.3349,0.8821,0.3992,0.8677,1636045544,0m 53s
24,0.3335,0.8847,0.3991,0.8663,1636045596,0m 51s
25,0.3341,0.8831,0.399,0.8672,1636045647,0m 51s
26,0.3332,0.8824,0.3984,0.8673,1636045698,0m 51s
27,0.3304,0.8847,0.3992,0.8676,1636045747,0m 49s
28,0.329,0.8853,0.3978,0.8668,1636045795,0m 48s
29,0.3336,0.8837,0.3995,0.8669,1636045841,0m 47s
30,0.332,0.884,0.4011,0.8671,1636045894,0m 53s
31,0.3345,0.8836,0.3995,0.8676,1636045945,0m 50s
32,0.3306,0.8839,0.4012,0.865,1636045994,0m 49s
33,0.3332,0.8842,0.3999,0.867,1636046046,0m 52s
34,0.3332,0.8837,0.4013,0.8659,1636046093,0m 48s
35,0.3311,0.8848,0.3984,0.867,1636046142,0m 48s
36,0.3302,0.8845,0.3993,0.8674,1636046188,0m 47s
37,0.336,0.8828,0.3987,0.8667,1636046239,0m 50s
38,0.3343,0.8829,0.3996,0.8671,1636046286,0m 47s
39,0.3282,0.8865,0.4012,0.867,1636046332,0m 47s
40,0.3302,0.8839,0.4006,0.866,1636046379,0m 47s
41,0.3285,0.8856,0.3983,0.8674,1636046426,0m 47s
42,0.3351,0.883,0.3998,0.8671,1636046473,0m 47s
43,0.3298,0.8848,0.3987,0.8674,1636046520,0m 47s
44,0.3289,0.8847,0.3993,0.8666,1636046567,0m 46s
45,0.3342,0.8839,0.3982,0.8672,1636046613,0m 47s
46,0.333,0.885,0.4009,0.8665,1636046661,0m 47s
47,0.3353,0.8823,0.4017,0.8646,1636046707,0m 47s
48,0.326,0.8859,0.3996,0.8681,1636046754,0m 47s
49,0.3307,0.8834,0.4018,0.867,1636046801,0m 47s
