Model,type,Dataset,Epoch,criterion,optimizer,scheduler,Train_loss,Train_acc,val_loss,Val_acc,time,Elapse_time,date
<tensorflow.python.keras.engine.functional.Functional object at 0x7f2ce26b09a0>,tensorflow,hymenoptera,0,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f2ce3615760>,,0.3646486699581146,0.8367000222206116,0.2804746925830841,0.8848999738693237,,,2021-10-30
<tensorflow.python.keras.engine.functional.Functional object at 0x7f2ce26b09a0>,tensorflow,hymenoptera,1,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f2ce3615760>,,0.1571432203054428,0.9440000057220459,0.3189333975315094,0.8794999718666077,,,2021-10-30
<tensorflow.python.keras.engine.functional.Functional object at 0x7f2ce26b09a0>,tensorflow,hymenoptera,2,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f2ce3615760>,,0.0823570042848587,0.9724249839782715,0.4001205265522003,0.8736000061035156,,,2021-10-30
<tensorflow.python.keras.engine.functional.Functional object at 0x7f2ce26b09a0>,tensorflow,hymenoptera,3,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f2ce3615760>,,0.04962088167667389,0.9840250015258789,0.48760589957237244,0.8684999942779541,,,2021-10-30
<tensorflow.python.keras.engine.functional.Functional object at 0x7f2ce26b09a0>,tensorflow,hymenoptera,4,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f2ce3615760>,,0.03392338380217552,0.9888749718666077,0.5033862590789795,0.8579999804496765,,,2021-10-30
<tensorflow.python.keras.engine.functional.Functional object at 0x7f2ce26b09a0>,tensorflow,hymenoptera,5,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f2ce3615760>,,0.02520294114947319,0.9919000267982483,0.5583524703979492,0.8604999780654907,,,2021-10-30
<tensorflow.python.keras.engine.functional.Functional object at 0x7f2ce26b09a0>,tensorflow,hymenoptera,6,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f2ce3615760>,,0.022060811519622803,0.993025004863739,0.5653573870658875,0.855400025844574,,,2021-10-30
<tensorflow.python.keras.engine.functional.Functional object at 0x7f2ce26b09a0>,tensorflow,hymenoptera,7,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f2ce3615760>,,0.016557281836867332,0.9953250288963318,0.6594464182853699,0.8575000166893005,,,2021-10-30
<tensorflow.python.keras.engine.functional.Functional object at 0x7f2ce26b09a0>,tensorflow,hymenoptera,8,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f2ce3615760>,,0.011634551919996738,0.996999979019165,0.648711621761322,0.8618999719619751,,,2021-10-30
<tensorflow.python.keras.engine.functional.Functional object at 0x7f2ce26b09a0>,tensorflow,hymenoptera,9,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f2ce3615760>,,0.014849474653601646,0.9956750273704529,0.6232279539108276,0.8636000156402588,,,2021-10-30
<tensorflow.python.keras.engine.functional.Functional object at 0x7f2ce26b09a0>,tensorflow,hymenoptera,10,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f2ce3615760>,,0.009187277406454086,0.9972500205039978,0.6616506576538086,0.8640000224113464,,,2021-10-30
<tensorflow.python.keras.engine.functional.Functional object at 0x7f2ce26b09a0>,tensorflow,hymenoptera,11,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f2ce3615760>,,0.006639504339545965,0.9981499910354614,0.777726948261261,0.8668000102043152,,,2021-10-30
<tensorflow.python.keras.engine.functional.Functional object at 0x7f2ce26b09a0>,tensorflow,hymenoptera,12,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f2ce3615760>,,0.011110557243227959,0.99652498960495,0.8143041729927063,0.8644000291824341,,,2021-10-30
<tensorflow.python.keras.engine.functional.Functional object at 0x7f2ce26b09a0>,tensorflow,hymenoptera,13,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f2ce3615760>,,0.01114362757652998,0.9963250160217285,0.7288646101951599,0.8633000254631042,,,2021-10-30
<tensorflow.python.keras.engine.functional.Functional object at 0x7f2ce26b09a0>,tensorflow,hymenoptera,14,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f2ce3615760>,,0.007856507785618305,0.9976999759674072,0.8172615170478821,0.863099992275238,,,2021-10-30
<tensorflow.python.keras.engine.functional.Functional object at 0x7f2ce26b09a0>,tensorflow,hymenoptera,15,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f2ce3615760>,,0.006649155635386705,0.9983000159263611,0.7592633366584778,0.86080002784729,,,2021-10-30
<tensorflow.python.keras.engine.functional.Functional object at 0x7f2ce26b09a0>,tensorflow,hymenoptera,16,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f2ce3615760>,,0.003400505520403385,0.9989500045776367,0.7942803502082825,0.8654000163078308,,,2021-10-30
<tensorflow.python.keras.engine.functional.Functional object at 0x7f2ce26b09a0>,tensorflow,hymenoptera,17,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f2ce3615760>,,0.003928550519049168,0.9990749955177307,0.9056046009063721,0.86080002784729,,,2021-10-30
<tensorflow.python.keras.engine.functional.Functional object at 0x7f2ce26b09a0>,tensorflow,hymenoptera,18,,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f2ce3615760>,,0.007279639597982168,0.997825026512146,0.7360130548477173,0.8568999767303467,,,2021-10-30
