Model,type,Dataset,Epoch,criterion,optimizer,scheduler,Train_loss,Train_acc,val_loss,Val_acc,time,Elapse_time,date
<tensorflow.python.keras.engine.functional.Functional object at 0x7fc4984b6d00>,tensorflow,hymenoptera,0,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fc5590f2490>,,2.006722927093506,0.398624986410141,1.9084054231643677,0.4237000048160553,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fc4984b6d00>,tensorflow,hymenoptera,1,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fc5590f2490>,,1.5836868286132812,0.5582249760627747,1.6497390270233154,0.525600016117096,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fc4984b6d00>,tensorflow,hymenoptera,2,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fc5590f2490>,,1.3631938695907593,0.6433500051498413,1.6135685443878174,0.5547999739646912,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fc4984b6d00>,tensorflow,hymenoptera,3,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fc5590f2490>,,1.1818742752075195,0.7125499844551086,1.576168417930603,0.5942999720573425,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fc4984b6d00>,tensorflow,hymenoptera,4,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fc5590f2490>,,1.006311297416687,0.7777500152587891,1.4485361576080322,0.6234999895095825,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fc4984b6d00>,tensorflow,hymenoptera,5,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fc5590f2490>,,0.8323906064033508,0.8476750254631042,1.575736165046692,0.6017000079154968,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fc4984b6d00>,tensorflow,hymenoptera,6,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fc5590f2490>,,0.6663068532943726,0.9087250232696533,1.5775796175003052,0.6212999820709229,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fc4984b6d00>,tensorflow,hymenoptera,7,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fc5590f2490>,,0.5261275172233582,0.9601749777793884,1.6377619504928589,0.6279000043869019,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fc4984b6d00>,tensorflow,hymenoptera,8,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fc5590f2490>,,0.436062753200531,0.9866750240325928,1.6409342288970947,0.6452999711036682,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fc4984b6d00>,tensorflow,hymenoptera,9,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fc5590f2490>,,0.3918982446193695,0.99652498960495,1.655503749847412,0.6557999849319458,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fc4984b6d00>,tensorflow,hymenoptera,10,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fc5590f2490>,,0.37301191687583923,0.9987249970436096,1.70707106590271,0.6575999855995178,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fc4984b6d00>,tensorflow,hymenoptera,11,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fc5590f2490>,,0.3649422526359558,0.9995250105857849,1.7156171798706055,0.6607000231742859,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fc4984b6d00>,tensorflow,hymenoptera,12,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fc5590f2490>,,0.3603065609931946,0.9998000264167786,1.7266716957092285,0.6643000245094299,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fc4984b6d00>,tensorflow,hymenoptera,13,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fc5590f2490>,,0.3570217490196228,0.9999499917030334,1.7674390077590942,0.6579999923706055,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fc4984b6d00>,tensorflow,hymenoptera,14,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fc5590f2490>,,0.3557795286178589,0.9999250173568726,1.8047747611999512,0.6553999781608582,,,2021-10-29
<tensorflow.python.keras.engine.functional.Functional object at 0x7fc4984b6d00>,tensorflow,hymenoptera,15,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fc5590f2490>,,0.3547339141368866,0.9999250173568726,1.788239598274231,0.6622999906539917,,,2021-10-29
