Model,Training,type,Dataset,Epoch,criterion,optimizer,scheduler,Train_loss,Train_acc,val_loss,Val_acc,time,Elapse_time,date
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,0,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.512484908,0.834516644,0.074048668,0.975099981,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,1,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.131785557,0.962133348,0.0547156,0.982900023,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,2,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.096034691,0.972216666,0.045437783,0.984700024,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,3,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.078553542,0.977916658,0.039242558,0.987299979,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,4,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.066507675,0.980400026,0.036731441,0.989000022,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,5,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.059061401,0.982666671,0.042654473,0.986899972,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,6,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.05288773,0.98421669,0.031798664,0.989300013,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,7,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.048117876,0.986383319,0.03469402,0.988600016,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,8,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.044236243,0.986249983,0.034682449,0.989600003,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,9,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.042243272,0.987366676,0.040868346,0.988300025,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,10,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.039123356,0.988499999,0.028631814,0.991100013,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,11,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.035247862,0.989316642,0.038211007,0.988600016,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,12,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.031949665,0.990750015,0.033639777,0.989099979,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,13,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.031494245,0.990649998,0.026594598,0.991299987,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,14,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.027267883,0.991566658,0.029705048,0.989899993,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,15,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.027213125,0.991616666,0.033046149,0.9903,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,16,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.025976399,0.992049992,0.030568225,0.990400016,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,17,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.023921829,0.992533326,0.030142037,0.991299987,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,18,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.02460935,0.992933333,0.028471692,0.99089998,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,19,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.022052547,0.99363333,0.029831866,0.991699994,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,20,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.020663423,0.993133307,0.030109622,0.991100013,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,21,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.019979727,0.993883312,0.027989561,0.99180001,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,22,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.020081984,0.993983328,0.027545316,0.991900027,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,23,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.017444871,0.994566679,0.028209314,0.993099988,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,24,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.017791856,0.994666696,0.028695315,0.991599977,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,25,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.017581988,0.994516671,0.027652262,0.992699981,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,26,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.016583113,0.994766653,0.02818081,0.991900027,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,27,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.014328595,0.995500028,0.029126648,0.992600024,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,28,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.015260256,0.995350003,0.028274277,0.992799997,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,29,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.014069758,0.995599985,0.030118827,0.992999971,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,30,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.014442512,0.995350003,0.029985733,0.992500007,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,31,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.012712249,0.995983362,0.028881527,0.992500007,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,32,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.013624954,0.995866656,0.02640993,0.992999971,,,2021-10-27-17:16:46
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7faff5113070>,2,tensorflow,hymenoptera,33,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7faff5114970>,,0.012777205,0.996033311,0.030237619,0.992200017,,,2021-10-27-17:16:46
