Model,Training,type,Dataset,Epoch,criterion,optimizer,scheduler,Train_loss,Train_acc,val_loss,Val_acc,time,Elapse_time,date
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f0a06da72b0>,4,tensorflow,hymenoptera,0,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f0a06d94d00>,,0.46244961,0.850466669,0.082327679,0.972800016,,,2021-10-27-17:26:02
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f0a06da72b0>,4,tensorflow,hymenoptera,1,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f0a06d94d00>,,0.134135857,0.961533308,0.052653808,0.9824,,,2021-10-27-17:26:02
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f0a06da72b0>,4,tensorflow,hymenoptera,2,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f0a06d94d00>,,0.098669603,0.972299993,0.051842891,0.98180002,,,2021-10-27-17:26:02
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f0a06da72b0>,4,tensorflow,hymenoptera,3,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f0a06d94d00>,,0.080565766,0.976983309,0.037597574,0.988099992,,,2021-10-27-17:26:02
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f0a06da72b0>,4,tensorflow,hymenoptera,4,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f0a06d94d00>,,0.069435775,0.97968334,0.06516549,0.980799973,,,2021-10-27-17:26:02
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f0a06da72b0>,4,tensorflow,hymenoptera,5,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f0a06d94d00>,,0.062986568,0.98269999,0.033088427,0.988499999,,,2021-10-27-17:26:02
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f0a06da72b0>,4,tensorflow,hymenoptera,6,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f0a06d94d00>,,0.053353492,0.984633327,0.031159177,0.99000001,,,2021-10-27-17:26:02
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f0a06da72b0>,4,tensorflow,hymenoptera,7,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f0a06d94d00>,,0.050147936,0.985683322,0.028209748,0.990100026,,,2021-10-27-17:26:02
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f0a06da72b0>,4,tensorflow,hymenoptera,8,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f0a06d94d00>,,0.043735728,0.987600029,0.032182448,0.99000001,,,2021-10-27-17:26:02
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f0a06da72b0>,4,tensorflow,hymenoptera,9,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f0a06d94d00>,,0.041000511,0.987783313,0.032660294,0.988200009,,,2021-10-27-17:26:02
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f0a06da72b0>,4,tensorflow,hymenoptera,10,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f0a06d94d00>,,0.038086511,0.988616645,0.028655414,0.99119997,,,2021-10-27-17:26:02
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f0a06da72b0>,4,tensorflow,hymenoptera,11,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f0a06d94d00>,,0.036038674,0.989600003,0.024257379,0.991900027,,,2021-10-27-17:26:02
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f0a06da72b0>,4,tensorflow,hymenoptera,12,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f0a06d94d00>,,0.033290848,0.989883304,0.029225811,0.99089998,,,2021-10-27-17:26:02
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f0a06da72b0>,4,tensorflow,hymenoptera,13,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f0a06d94d00>,,0.031354874,0.990433335,0.03157036,0.990800023,,,2021-10-27-17:26:02
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f0a06da72b0>,4,tensorflow,hymenoptera,14,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f0a06d94d00>,,0.029842038,0.99119997,0.02485425,0.991900027,,,2021-10-27-17:26:02
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f0a06da72b0>,4,tensorflow,hymenoptera,15,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f0a06d94d00>,,0.026389185,0.991900027,0.025091369,0.99150002,,,2021-10-27-17:26:02
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f0a06da72b0>,4,tensorflow,hymenoptera,16,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f0a06d94d00>,,0.025368433,0.991900027,0.025345996,0.99180001,,,2021-10-27-17:26:02
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f0a06da72b0>,4,tensorflow,hymenoptera,17,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f0a06d94d00>,,0.024736101,0.992483318,0.023932962,0.991999984,,,2021-10-27-17:26:02
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f0a06da72b0>,4,tensorflow,hymenoptera,18,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f0a06d94d00>,,0.022345997,0.993099988,0.024491522,0.9921,,,2021-10-27-17:26:02
