Model,Training,type,Dataset,Epoch,criterion,optimizer,scheduler,Train_loss,Train_acc,val_loss,Val_acc,time,Elapse_time,date
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,21,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.019980272,0.994016647,0.029188041,0.9921,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,22,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.020089259,0.993799984,0.026900232,0.992699981,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,23,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.019098029,0.994266689,0.025775408,0.9921,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,24,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.01652481,0.995000005,0.027160166,0.9921,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,25,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.016964871,0.994616687,0.025342043,0.992999971,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,26,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.016169274,0.994650006,0.028130917,0.991999984,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,27,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.017329108,0.994449973,0.028413681,0.992200017,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,28,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.014527137,0.995233357,0.032056704,0.99150002,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,29,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.015406204,0.99515003,0.027521113,0.992299974,,,2021-10-27-17:22:14
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe590d896a0>,3,tensorflow,hymenoptera,30,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe58ecc6d90>,,0.014617241,0.99546665,0.027499329,0.992500007,,,2021-10-27-17:22:14
