Model,Training,type,Dataset,Epoch,criterion,optimizer,scheduler,Train_loss,Train_acc,val_loss,Val_acc,time,Elapse_time,date
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1d64820d60>,9,tensorflow,hymenoptera,0,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1d6275cd60>,,0.459544986,0.853033304,0.089974158,0.972000003,,,2021-10-28-13:34:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1d64820d60>,9,tensorflow,hymenoptera,1,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1d6275cd60>,,0.134947956,0.96116668,0.06230421,0.980700016,,,2021-10-28-13:34:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1d64820d60>,9,tensorflow,hymenoptera,2,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1d6275cd60>,,0.099865541,0.972150028,0.045742109,0.985300004,,,2021-10-28-13:34:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1d64820d60>,9,tensorflow,hymenoptera,3,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1d6275cd60>,,0.082588881,0.976249993,0.036837108,0.986999989,,,2021-10-28-13:34:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1d64820d60>,9,tensorflow,hymenoptera,4,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1d6275cd60>,,0.068248346,0.980333328,0.032921124,0.989400029,,,2021-10-28-13:34:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1d64820d60>,9,tensorflow,hymenoptera,5,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1d6275cd60>,,0.059651174,0.982550025,0.028728347,0.991100013,,,2021-10-28-13:34:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1d64820d60>,9,tensorflow,hymenoptera,6,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1d6275cd60>,,0.053419665,0.984266639,0.028155383,0.990499973,,,2021-10-28-13:34:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1d64820d60>,9,tensorflow,hymenoptera,7,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1d6275cd60>,,0.049826931,0.985450029,0.025102248,0.99119997,,,2021-10-28-13:34:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1d64820d60>,9,tensorflow,hymenoptera,8,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1d6275cd60>,,0.045201089,0.987233341,0.037533239,0.988099992,,,2021-10-28-13:34:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1d64820d60>,9,tensorflow,hymenoptera,9,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1d6275cd60>,,0.039329585,0.988266647,0.025954062,0.991400003,,,2021-10-28-13:34:47
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1d64820d60>,9,tensorflow,hymenoptera,10,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1d6275cd60>,,0.038797315,0.988216639,0.030305197,0.989899993,,,2021-10-28-13:34:47
