Model,Training,type,Dataset,Epoch,criterion,optimizer,scheduler,Train_loss,Train_acc,val_loss,Val_acc,time,Elapse_time,date
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f9cb47bd280>,6,tensorflow,hymenoptera,0,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f9cb26fbe50>,,0.447577268,0.859799981,0.092508964,0.968100011,,,2021-10-28-13:13:38
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f9cb47bd280>,6,tensorflow,hymenoptera,1,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f9cb26fbe50>,,0.143725634,0.958649993,0.059325099,0.980300009,,,2021-10-28-13:13:38
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f9cb47bd280>,6,tensorflow,hymenoptera,2,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f9cb26fbe50>,,0.104365036,0.970300019,0.046901949,0.98299998,,,2021-10-28-13:13:38
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f9cb47bd280>,6,tensorflow,hymenoptera,3,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f9cb26fbe50>,,0.084386766,0.975383341,0.040866457,0.986500025,,,2021-10-28-13:13:38
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f9cb47bd280>,6,tensorflow,hymenoptera,4,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f9cb26fbe50>,,0.075631179,0.978316665,0.036955133,0.987900019,,,2021-10-28-13:13:38
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f9cb47bd280>,6,tensorflow,hymenoptera,5,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f9cb26fbe50>,,0.063511118,0.982416689,0.032417372,0.989700019,,,2021-10-28-13:13:38
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f9cb47bd280>,6,tensorflow,hymenoptera,6,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f9cb26fbe50>,,0.057602644,0.983583331,0.031799715,0.989600003,,,2021-10-28-13:13:38
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f9cb47bd280>,6,tensorflow,hymenoptera,7,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f9cb26fbe50>,,0.052396152,0.984849989,0.027407084,0.99150002,,,2021-10-28-13:13:38
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f9cb47bd280>,6,tensorflow,hymenoptera,8,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f9cb26fbe50>,,0.050530143,0.985416651,0.028657101,0.99059999,,,2021-10-28-13:13:38
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f9cb47bd280>,6,tensorflow,hymenoptera,9,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f9cb26fbe50>,,0.044480633,0.986916661,0.028945966,0.99059999,,,2021-10-28-13:13:38
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f9cb47bd280>,6,tensorflow,hymenoptera,10,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f9cb26fbe50>,,0.039283331,0.988333344,0.0261117,0.99089998,,,2021-10-28-13:13:38
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f9cb47bd280>,6,tensorflow,hymenoptera,11,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f9cb26fbe50>,,0.038141593,0.988866687,0.027727298,0.99059999,,,2021-10-28-13:13:38
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f9cb47bd280>,6,tensorflow,hymenoptera,12,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f9cb26fbe50>,,0.035884455,0.989750028,0.0244461,0.99150002,,,2021-10-28-13:13:38
