Model,Training,type,Dataset,Epoch,criterion,optimizer,scheduler,Train_loss,Train_acc,val_loss,Val_acc,time,Elapse_time,date
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe02ca4bc70>,5,tensorflow,hymenoptera,0,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe02a988df0>,,0.429451883,0.864233315,0.082202993,0.97390002,,,2021-10-28-13:09:56
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe02ca4bc70>,5,tensorflow,hymenoptera,1,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe02a988df0>,,0.128739148,0.962816656,0.05986717,0.980400026,,,2021-10-28-13:09:56
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe02ca4bc70>,5,tensorflow,hymenoptera,2,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe02a988df0>,,0.095671445,0.972066641,0.046586696,0.984899998,,,2021-10-28-13:09:56
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe02ca4bc70>,5,tensorflow,hymenoptera,3,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe02a988df0>,,0.08164642,0.976999998,0.039241191,0.986199975,,,2021-10-28-13:09:56
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe02ca4bc70>,5,tensorflow,hymenoptera,4,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe02a988df0>,,0.067513846,0.980066657,0.035791945,0.988600016,,,2021-10-28-13:09:56
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe02ca4bc70>,5,tensorflow,hymenoptera,5,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe02a988df0>,,0.060511764,0.982266665,0.039514769,0.987500012,,,2021-10-28-13:09:56
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe02ca4bc70>,5,tensorflow,hymenoptera,6,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe02a988df0>,,0.055227377,0.983799994,0.034535497,0.988399982,,,2021-10-28-13:09:56
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe02ca4bc70>,5,tensorflow,hymenoptera,7,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe02a988df0>,,0.049585577,0.985483348,0.033745099,0.988900006,,,2021-10-28-13:09:56
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe02ca4bc70>,5,tensorflow,hymenoptera,8,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe02a988df0>,,0.045027323,0.986800015,0.029646173,0.990400016,,,2021-10-28-13:09:56
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7fe02ca4bc70>,5,tensorflow,hymenoptera,9,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7fe02a988df0>,,0.042097162,0.987800002,0.0308185,0.9903,,,2021-10-28-13:09:56
