Model,Training,type,Dataset,Epoch,criterion,optimizer,scheduler,Train_loss,Train_acc,val_loss,Val_acc,time,Elapse_time,date
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f4da874e3d0>,10,tensorflow,hymenoptera,0,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f4da668ceb0>,,0.497012228,0.839983344,0.106488548,0.964699984,,,2021-10-28-13:38:31
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f4da874e3d0>,10,tensorflow,hymenoptera,1,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f4da668ceb0>,,0.137386754,0.960200012,0.067097917,0.979099989,,,2021-10-28-13:38:31
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f4da874e3d0>,10,tensorflow,hymenoptera,2,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f4da668ceb0>,,0.099450074,0.970000029,0.043868791,0.986199975,,,2021-10-28-13:38:31
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f4da874e3d0>,10,tensorflow,hymenoptera,3,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f4da668ceb0>,,0.082263567,0.976266682,0.040532883,0.986999989,,,2021-10-28-13:38:31
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f4da874e3d0>,10,tensorflow,hymenoptera,4,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f4da668ceb0>,,0.068720497,0.980066657,0.038958266,0.987299979,,,2021-10-28-13:38:31
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f4da874e3d0>,10,tensorflow,hymenoptera,5,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f4da668ceb0>,,0.060389392,0.982733309,0.034452692,0.989099979,,,2021-10-28-13:38:31
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f4da874e3d0>,10,tensorflow,hymenoptera,6,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f4da668ceb0>,,0.055768929,0.983850002,0.039411861,0.988300025,,,2021-10-28-13:38:31
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f4da874e3d0>,10,tensorflow,hymenoptera,7,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f4da668ceb0>,,0.048497498,0.985599995,0.031588644,0.989899993,,,2021-10-28-13:38:31
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f4da874e3d0>,10,tensorflow,hymenoptera,8,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f4da668ceb0>,,0.044153638,0.98724997,0.032726597,0.99000001,,,2021-10-28-13:38:31
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f4da874e3d0>,10,tensorflow,hymenoptera,9,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f4da668ceb0>,,0.044372622,0.98726666,0.029336639,0.990199983,,,2021-10-28-13:38:31
